author,date,score,content
DVR_Brale,"Jun 4, 2022",10,"A perfect gift to all Top Gun fans
There are so many references to the original that I was brought to childhood when I had first seen it.

The best cinematic experience of my life and a perfect gift to all Top Gun fans."
Horror_Flick_Fanatic,"Aug 24, 2022",6,"Not bad, but waayy overrated.
Based on the scores, I was expecting a much better film. But I now get it., its the nostalgia for the first film that fuels the scores for this film.

Here is my take and why I think its an ""okay"" film, just not a great one. There really isn't a whole lot of meat and potatoes to this story. It's largely a copy pasta in large chunks from the older film but with newer, younger faces. Maverick is charged with training a squadron of top gun fighter pilots to destroy an enemy uranium enrichment plant that is about to come online and operational. But it seems the producers want to maximize the profits for this film and not offend anyone in the real world. So this enemy doesn't have a name or a geographical location. The enemy has 5th generation fighter jets and some James Bond evil villian sized SAM batteries around the mountain's summit. It is a snow covered terrain so that rules out many enemies in warmer climates.

Then there is the lone aircraft carrier delivering these jet fighters to the enemies doorstep. Well, by now most people know that wouldn't be the case. Carriers are heavily guarded and their presence would trigger the attention of any adversary. No way could four F18 sneak in under radar to blow up this plant unless we accept the enemy isn't aware of a huge freakin carrier of their shores. So there is nothing resembling a realistic scenario and that kept me from enjoying the story too much.

The romantic relationship in the film has no chemistry. I just didn't feel any chemistry between Penny and Maverick. That's a first because you do have two very good looking actors and I always thought Tom Cruise to be great action actor. So no chemistry between Cruise and Jennifer Connelly is a bitter pill to swallow.

What I did like about it was the cinematography and some of the action sequences with the dog fighting. But I didn't think the dog fighting were any better than the original film. In fact, the original film might have had better scenes. This film just has a lot of choppy editing to imply action.

I think its a 6/10, but not a chance it's a 9/10. Maybe if they added a Tom Clancy inspired screenplay to the film I might have given it a 9. Maybe a team of seals to do recon before having the jets engage and with the aircraft carrier companied by a battlegroup flotilla. Aircraft Carriers just don't end up secretly off the shore of adversarial country completely alone, not in the real world."
DarkVulcan29,"May 27, 2022",10,"Flying High
Top Gun (1986) made Tom Cruise a star, and now 36 years later he jumps back in role of Pete Mitchell AKA Maverick almost like he never left.

Maverick never seems let his age slow him down, and still is cocky has ever, and is ordered to train a bunch of young pilots for a deadly mission, but sees a little bit of himself in them, and must get them working together has a team.

Tom Cruise is great has Maverick, who is coming to terms with the past. Miles Teller and Glen Powell are also great, and not to mention Jennifer Connelly. But the flying scenes are what makes this movie, you feel like your flying with them. Feels has real has ever. A terrific sequel 36 years worth the wait."
cruise01,"May 29, 2022",10,"Tom Cruise really knows how a blockbuster film is made.
5 out of 5 stars.

Top Gun Maverick is an awesome action film that lives up to the original film and way superior as well. It is one awesome thrill ride that will have the audiences gasping for air with its exhilarating aerial combat scenes.

The plot is great. It continues with Maverick (Tom Cruise) being assigned to train new pilots before they go off on a challenging mission. Rooster (Miles Teller) is among the recruits which Maverick tries to reconnect after the incident with his father in the previous film.

The plot tries to build an emotional powerhouse as Maverick are neck to neck about the past. And Maverick trying to get these pilots prepared for there first combat.

The script is great and fast moving. Director Joseph Kosinski nails making a blockbuster film. Making the action sequences cinematic. And big and loud. Majority of the action scenes are practical and realistic which makes it better. The climatic sequence with the pilots on the mission was awesome and thrilling. Definitely worth seeing this film on the biggest screen with great sound quality.

The cast ensemble is great. Tom Cruise nails making a big action film. Cant wait to see what he does with his next films. Miles Teller also was good. Jennifer Connelly playing Mavericks past love interest. The new additions were all great as well. The music score was awesome.

The opening sequence gives you the chills with its similiarities to the first.

Top Gun Maverick is one of the best films this year. Amazing action sequences that is cinematic and big. And big film that deserves to be seen in theatres."
thesar-2,"May 29, 2022",9,"This Topped and Outgunned the Original
See? This is why I LOVE Tom Cruise Post-Mid-1992. Aside from the RARE misfire, cough, cough, The Mummy, when Tom Cruise wants a movie to be better than perfect, he pushes it past Mach 10.

The first half of this adventure made me feel this is the perfect and worthy sequel to the original. AND THEN...the second half kicked in thoroughly SURPASSING the original by a landslide. Now, it certainly will not have the impact on the 2020s as the original did for the 1980s - that's lightning that can't be caught twice. But, rest assured: this simultaneously saluted the 1986 classic and then told it to hold its beer.

Maverick never changed. And just went he was about to use up his seemingly endless supply of luck, he got recruited back into the ""Top Gun"" division to get the elite ready for a, dare I?, almost Impossible Mission. Oh, and there's a ton of drama and obligatory dick-measuring thrown in.

What matters most is: the setup for the film takes place perfectly in the first act giving us clear direction (something the original lacked,) and gave us goals with character building to anticipate and cheer on. When the climax began, it's WAS exactly what I wanted, until it went on another 15 minutes to make the movie SOAR beyond my expectations.

While the acting was superb from the Veterans, it wasn't all that great from the fresh new recruits. That was to be expected. Much like their characters in the movie, they're learning to be the best. And they may someday.

The movie's music is not as great as the original, but the movie used it sparingly, correctly and with some great new tracks. The original knew it had a killer soundtrack and overdid it. This one showed the restraint it needed.

If you loved the first one, there's virtually no way you wouldn't love this even more. It's absolutely perfect for those who were there buying tickets for the original and it's also great for newbies so they can learn to appreciate the classics and understand: with age comes experience and that should never be mocked. It should be learned from and used to progress.

And to Top it all off, all of the practical stunts and aerial shots made 10x more sense and easier to follow this time around. I just rewatched the original last night for only the second time (the first being on home video in 2015) and my head was literally spinning to follow the action in the sky. Here, they make sure no one is left in the dust.

I can't recommend this movie enough and to see it in theatres, preferably a Dolby-certified one. Don't wait for Paramount+ to pick this up (like I normally would.) Go see this now on the big screen as it should be seen and don't miss out like I did with the original in 1986.

***

Final Thoughts: I *just* made my Top Ten Tom Cruise movie list, time to update it:

1. A Few Good Men 2. Mission: Impossible - Fallout 3. Edge of Tomorrow 4. Mission: Impossible - Rogue Nation 5. Mission: Impossible - Ghost Protocol 6. Top Gun: Maverick 7. Collateral 8. Jerry Maguire 9. Knight and Day 10. Mission: Impossible III

Honorable Mentions:

11. Top Gun 12. Oblivion 13. The Firm 14. Interview with the Vampire 15. Rain Man 16. Vanilla Sky."
rockingruby,"May 29, 2022",9,"Take note Hollywood this is how to do a blockbuster film.
I appreciate the first film but never been a massive fan of it so I was not expecting much from the sequel. I was surprised how good this movie was, it's terrific. Also was great to see no woke nonsense and strong characters, thank you Tom Cruise."
kosmasp,"May 30, 2022",10,"Talk to me Goose
It makes more than sense to have seen the first Maverick movie. I am writing this with that in mind. Actually I would even argue that the rating also had something to do with it. Watching it on the big screen also helps a lot of course. My summary line is actually a quote from the movie. Not just the first one, but one that is being said here too. And you will get the full impact of that sentence, of those words, if you know what they mean and why they are said.

There are quite a few connections to the first movie, but there is also nods to real life. Especially with Val Kilmer in mind. And all is serving the story - even the real life struggle Kilmer has, that gets woven into the character Iceman. So there are two of the big stars of the first one name checked - what about Kelly McGillis though? Well don't hold your breath (it is being taken away, sorry for the pun)! She is not returning. Now you could be mad at the movie for that - or you could salute it for bringing ""back"" a character that was only name checked in the first movie - and being played by the wonderful Jennifer Connely.

Now is she as beautiful as ever? Yes. But she is also close to the age of Tom Cruise that some other names could have been. Of course do not overthink the age thing, because you'd find that her real age would have been inappropriate during the time of the first movie ... just saying. Again: do not overthink it at all.

Those things out of the way, we get introduced to a whole bunch of new characters. There probably is not as much ... well male on male energy here as there was in the first one. Even in the dialog - you just feel it. Don't give me that look (and yes I know it is the only one you've got - especially when I bring the puns)! There is more than a coherent story - and the movie takes its time to tell it. There is plenty of action too.

There is also technical talk that I didn't totally understand. But it is not necessary to get the movie or enjoy it. And then there is the ending - and what a perfect ending this has. So much so, that I decided it deserves the 10 rating I finally gave it. It may copy many things from the first movie (call it homage), especially the intro but also some story beats, but it still stands ... or rather flies on its own! Just buckle your seatbelt, because you may get dizzy.

First time watching I could spot the music cues from the first one, but there were also some fresh elements to it. If I didn't know Lady Gaga was at least partly (big parts if I understood correctly) responsible for the soundtrack, I wouldn't have guessed myself to be honest. As it is, one of the biggest highlights in cinemas this year - the waiting was worth it. If you feel the need .. the need for speed - your need will be satisfied here (or rather in cinemas). Even being able to predict story points will not take away anything from the experience you can have with this. Enjoy."
ferguson-6,"May 24, 2022",8,"we get what we hoped for
Greetings again from the darkness. Heavy on melodrama. Heavy on cockiness. Heavy on fighter jets. Heavy on nostalgia. Check. Everything that we want and expect in the long-awaited sequel to the 1986 film is present. It's a movie spectacle featuring one of the few remaining bonafide movie stars front and center, as well as breathtaking action sequences that beg to be experienced on the largest screen possible and with the highest quality audio available. Jim Cash and Jack Epps Jr are credited for the characters, while the new screenplay involved collaboration from Ehren Kruger, Eric Warren Singer, Christopher McQuarrie, Peter Craig, and Justin Marks. The original film's director, Tony Scott, passed away in 2012 at age 68, and Joseph Kosinski (OBLIVION, 2013, also starring Tom Cruise) takes the helm.

Callbacks to the original are plentiful, and we get our first in the opening title card - the same one used in 1986 to explain the ""Top Gun"" training center. Of course, there is one reason we are here, and that's Tom Cruise. He was only 24 years old in the original, and now lives and exudes the swagger of Pete ""Maverick"" Mitchell. When the film opens, Maverick is an extreme test pilot pushing himself and an experimental aircraft to Mach 10, and yes, this goes against the wishes and order of the program's Rear Admiral in charge played by a curmudgeonly Ed Harris. It's a shame that Harris only has a couple of brief scenes, but he is the one that informs Maverick of his new orders to return to Top Gun immediately. His new commanding officer is Beau ""Cyclone"" Simpson (Jon Hamm), who is none too happy about Maverick being back. However, the order came directly from Maverick's old nemesis/friend, Tom ""Iceman"" Kazansky (Val Kilmer), now a highly decorated Admiral in failing health.

Maverick is disappointed to learn that he has been brought in, not to fly, but to teach a group of Top Gun graduates how to execute an extraordinarily dangerous mission involving extended high speeds at a low altitude, dropping bombs on the uranium enhancement plant protected by a mountain range, and then immediately elevating to a nearly impossible level to avoid a crash - all while being targeted by the enemies radar and defense system. The enemy goes unnamed so that the movie can remain timeless and avoid any type of political backlash. Plus, this film is about thrills and action, not a political statement.

Being back means Maverick crosses paths with Penny Benjamin (Jennifer Connelly), who was mentioned briefly in the first film as an Admiral's daughter. She now owns the local bar, has a daughter, races sailboats, and still carries a bit of a torch for Maverick, although she's quick to bust his chops whenever possible. However, it's the pilots he's charged with training that cause the biggest issue for Maverick. One of them is Bradley ""Rooster"" Bradshaw. Rooster is the son of ""Goose"" (played in the original by Anthony Edwards), who flew with Maverick as his Radio Intercept Officer (RIO) and died in an ejection mishap. Rooster holds Maverick responsible and Maverick is still haunted by his friend's death. Goose is seen in photos and via flashbacks, and Rooster emulates his dad at the bar's piano. The conflict between Rooster and Maverick adds complications to the mission - and a bit of melodrama to the entire film.

The newbies (and the Navy) consider Maverick a relic of a bygone era, so of course, 'instructor' Maverick takes to the sky to strut his pilot stuff. In addition to Rooster, the standouts in the new group include Phoenix (Monica Barbaro), Bob (Lewis Pullman), and Hangman (Glen Powell), the latter of whom, along with Rooster, tries to recreate that symbiotic relationship we originally saw with Iceman vs Maverick. Teller and Powell are both solid, but this aspect never really clicks like the Rooster vs Maverick piece.

We can't help but notice that the dramatic elements seem to be more of a focus this time around. The biggest impact comes from the scene where Mavericks visits Admiral Kazansky (Iceman) at his home. Despite his well-known physical limitations, Val Kilmer delivers a memorable performance, and the two actors seem to relish this opportunity. The situation is handled with grace, and we are appreciative of Cruise standing firm in his demand for Kilmer to appear in the film. As for the love story between Penny and Maverick, it had to be a bit frustrating for Ms. Connelly to work so hard on an underwritten role, while Jon Hamm's constant furrowed brow and barking leaves him coming across as little more than jealous of Maverick.

Obviously it's the fighter jets and aerial sequences that folks will come for, and spectacular and exhilarating are the best words I can find to describe what we see. I was fortunate to see his in IMAX, and if you have one near you, it's certainly the preferred viewing format. Thanks to the Navy and the training and equipment received by the cast, there is an authentic feel that's almost throwback in this day and age of CGI. We sense the speed and gravity pulls, even if we are never in peril. The aircraft carrier sequences are mind-boggling, though it's jets in the air that provide the energy jolt.

Wise-cracking and heartstring-tugging moments fill the screen, and you can relax knowing Kenny Loggins' ""Danger Zone"" is back, while Berlin is thankfully not. Sand volleyball has been replaced by some semblance of shirtless and sweaty beach football as a team-builder, and yes, we get the patented Tom Cruise sprints - three times: on a treadmill, during beach football, and in a forest. The familiar sounds of Harold Faltermeyer's original score are back, this time enhanced by Hans Zimmer and an ending song by Lady Gaga. Those from the original who are absent this time are the great Tom Skerritt, James Tolkan, Kelly McGillis, and Meg Ryan (whose character is mentioned as having passed away). Producer Jerry Bruckheimer is back, though his partner on the original, Don Simpson, died in 1996 at age 52. Deserving of kudos are cinematographer Claudio Miranda, film editor Eddie Hamilton, and those involved with sound, visual effects, and music. For those feeling the need for speed, this sequel delivers; just embrace the cliches and familiarity, and predictability.

Only in theaters (as it should be) Friday May 27, 2022."
jeriahswillgdp,"Jun 5, 2022",7,"Amazing at times.
I went into this film with very high expectations. The film delivered plenty at many times, but others I found myself quite bored.

I was tempted to write out all the issues I had that took away the 3 stars, but this film is really just a fun, happy thing that everyone loves and isn't arguing about, and how often do we get that?

So I'll just say it's worth the watch and leave it at that."
HalBanksy,"May 31, 2022",10,"Puts a smile on your face!
What a rush. Lucky enough to watch this is on a Dolby screen - a thrilling cinema experience. Outstanding direction and editing. The genuine aerial stunts really put to shame the endless CGI tripe that is slopped into theatres every week. The action here feels viscerally REAL - something that has been sorely missed from recent blockbusters.

The new cast are all perfect. It's obvious they are having the time of their lives - and that infectious joy was felt by the whole audience. Charming, funny, arrogant and heartful at all the right times. I hope we will see them reunited on screen (and much sooner than 36 years!) The nearly 60 year old Tom Cruise does not look out of place. The practical flying scenes really cannot be praised enough. It's an action masterclass, I can barely fathom the work and effort it took to capture such ambitious footage.

The film is self-aware and knows exactly what the audience is there to see. Clearly a better script than the original (although lacking the iconic quotes.) Killing off Meg Ryan seemed a bit unnecessary, especially after they made the effort to bring back Val Kilmer for a quite jarring cameo. Honestly the references to the original were slightly overkill to begin with, but thankfully settled down once the plot got going.

I thought the film had come to a very satisfying climax, then a happy surprise to realise the final act was only just beginning! You can't deny that Tom Cruise pulled it off - a real movie star, in a real blockbuster hit. Oscars for sound, cinematography and editing are surely locked down. Simply the best film of 2022."
damianphelps,"Nov 17, 2022",7,"Top Gun: The Force Awakens
Firstly before my small complaint I will point out that I do like the movie.

Now the complaint. This movie uses the exact same formula as Star Wars: The Force Awakens, it remakes the original film almost scene for scene and adds a few new bits. Both films treating the audience with a little bit of contempt whilst cashing in on the nostalgia market.

Having said that, its a fun movie. Teller, as Goose 2.0, works particularly well. It was also great to see Kilmer, despite his current health concerns (he could have been a dynamo for the film if well).

Its fun, loud and obnoxious which is what a Top Gun movie should be :)"
RM851222,"Jun 2, 2022",10,"Amazing entertainment
Greetings from Lithuania.

I wasn't the biggest fan of first ""Top Gun"" movie. I saw it like 5 years ago so for me it wasn't nostalic or anything. It was just OK movie and nothing more.

Today i saw ""Top Gun: Maverick"" (2022) in cinema. And it blew me away. This movie was incredible. It literally put a smile on my face. Action scenes in the air were the best i ever saw of this type of action. Directing by Joseph Kosinski was perfect. Music was on spot. Cinematography was gorgeous. I loved how actually calm and quite this movie was, until it wasn't and transition between scenes, acts, calm and action was perfect. Acting was great. This is a movie making as good as it gets. Was it predictable? Yes. But at the same time i was excited and glued to the screen during its whole 2 hours run time.

Overall, ""Top Gun: Maverick"" is a Hollywood blockbuster done right. Its a Hollywood action adventure movie in every possible way, yet this time its done incredibly good. What a terrific sequel."
trimblair,"May 26, 2022",10,"Best movie of 2022!
Wow! As a retired combat veteran who has flown jets, I LOVED THIS MOVIE! It had massive heart, great action and wonderful Cameos. The flying scenes were the best I've seen. Nobody left the theater for 90 minutes!"
UniqueParticle,"May 31, 2022",10,"Holy cow such a great IMAX experience!
Tom Cruise is still an ultimate being at 59 years old it's outstanding! Top Gun: Maverick deserves so much for how practical everything is. Great the IMDb rating is 8.7 hope it stays high, should even get awards. The music hit the spot, cinematography is beautiful, the story flow well, and the acting is incredible so much so that even though Val Kilmer has mouth cancer in real life he has a small part in the film. I like how the main characters trained for a near impossible mission that all was built up quite well."
sambitswain,"May 23, 2022",10,"Worth the wait
Really!! It's amazing how something so good and looked forward to was above expectation. Amazing set designs, incredible character building, action sequences that are perfectly choreographed. This is one of the, if not, most ambitious films with a flawless execution. The fact that the director's vision is so blended with Tom Cruise and other actors is very effective on the traceability of the film. Tom Cruise is a machine. He knows what audiences want and he delivers. Not sure how they can top this one (but I thought the same after watching him cling onto a plane).

You won't find a better movie of this type in the theatre right now and for the fans out there who appreciate this material, it will provide a memorable experience. Go see it you wont regret it.

Perfection doesn't deserve a remake. It deserves a re-watch."
DoNotComeToTheCinemaDepressed,"May 25, 2022",10,"A CONTENDER FOR MOVIE OF THE YEAR. WHAT AN EXPERIENCE! 🎥🍿🛫
Just Saw This In IMAX and guys what an experience it was.

Components of this Movie-

1. Firstly what a cast! EVERY SINGLE CHARACTER seemed like they were having a Great Time Acting in this movie. INCLUDING the serious minded Admirals. Great Performances all around.

2. Every Scene flows so well. The time flew by.

3. Many of the Jokes Landed Strongly throughout the Movie with the audience I was with. Especially the ""You Told Me Not to Think"" Scene. 😂🤣

4. The Visuals of the Fighter Jet Scenes were Astonishing. They looked so good.

5. The Story was good enough, on top of that, the suspense was built up throughout towards the Actual Mission. With The Training Missions and Different Conundrums the Team Faced.

Overall, What A Movie and Going Further, What an Experience it was."
masonsaul,"May 28, 2022",10,"One of the best sequels ever
Top Gun: Maverick accomplishes a very rare feat of being a long gestating sequel that is not only worthy of the original but actually better than it. Managing to retain the spirit of the original whilst also adding stronger stakes, a more emotionally involving narrative and better written characters.

Tom Cruise is perfect as Maverick, bringing all the charm and star power but also adding much needed dramatic weight and sorrow to the character. He also has great chemistry with Jennifer Connelly, who is a strong love interest with lots of warmth and humanity.

All of the new cast fit in perfectly and are all really memorable but Miles Teller is definitely the standout with a satisfying character arc and has equally great chemistry with Cruise. Val Kilmer's inclusion was a superb decision and is handled with immense love and respect.

Joseph Kosinski's direction is absolutely amazing. The film looks amazing overall with some nice homages to Tony Scott's iconic style but the standout is definitely the flight sequences which are truly astonishing and satisfyingly practical.

Sifting through hours upon hours of footage, the flight sequences are edited together in spectacular fashion, extremely comprehensible and never boring. The film itself has excellent pacing, naturally building to a thrilling climax that just keeps escalating.

The soundtrack and music by Harold Faltermeyer, Lady Gaga and Hans Zimmer is also perfect. All the classics you expect are present and used in satisfying ways and the new music is appropriately epic. The new songs by Lada Gaga and One Republic are so good, utilised at the right moments and equally catchy and memorable."
radhrh,"Jun 13, 2022",6,"More corn than the Jolly Green Giant
I drove an hour each way to see this in a movie theater, my first visit to one a couple of years because I wanted to get the full cinematic experience. What I got was a huge pile of corn. If not for the flying sequences, which are awesome, the rest of the movie is a bit pants. Ed Harris is in it for a single scene, more of a cameo role than anything. Val Kilmer's scene was embarrassing. Jennifer Connelly is looking her age and plays a half baked love interest which frankly the film could have done without. Is she supposed to be the Kelly McGillis role from the original movie? She lives in a very similar house and she drives a Porsche so who knows? The plot revolves around a mission so uniquely unlikely that it makes the movie slightly preposterous. The cast of pilots don't hold a candle to the original cast and their characters are two dimensional and boring. It isn't Tom Cruise's best performance either playing the eponymous Maverick, a man still plagued by the death of his buddy, Goose from the first movie. Come on, man. That was 35 years ago, get over it FFS! Jon Hamm, who I normally like doesn't look comfortable playing Maverick's up tight commander and there's a scene of beach football which is supposed to mirror the volleyball scene from the first movie but just looks gay AF. Once again the flying scenes are unbelievable, by that I mean extremely believable. The actors must have actually been in the planes for at least some of the shots and CGI has been kept to a minimum which is great to see. But take away those sequences, which don't account for much run time, maybe 15% of total run time, and what you have left is quite poor."
jovanyglez,"May 23, 2022",10,"BEST MOVIE IN YEARS
This movie makes you ask yourself ""what happened to those amazing, interesting, fun, thrilling scripts, what happened to thos original movies, forget the remakes, this is a masterpiece, please see in IMAX, you will be amazed, Tom Cruise amazing as Maverick, Miles Teller amazing actor, the story is very interesting!"
